video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
SOfnJjAbaoQ,女王蜂 『BL / 火炎』Official Live Clip,2020-09-01T13:00:13Z,UCWYODUHcJbtt1NK0px4grYg,女王蜂 official YouTube channel,10,20.09.09,女王蜂|Queen Bee,568577,37353,231,1268,https://i.ytimg.com/vi/SOfnJjAbaoQ/default.jpg,False,JP,182
ESABr4alDAw,配達に使うバイクってキャンプ最強なんじゃね？？？？,2020-09-01T13:09:21Z,UCIJPUOgFIBu8TiXUa9hRWYw,CABHEY RIDE ON!!,2,20.09.09,キャンプ|アウトドア|ソロキャン|キャンプ飯|バイク|モトブログ,872332,23206,480,1910,https://i.ytimg.com/vi/ESABr4alDAw/default.jpg,False,JP,183
rXvQ0mGjeZA,【減量飯】ゆりやんが30キロのダイエットに成功した超簡単、激ウマのご飯です。,2020-09-01T10:00:28Z,UCOUu8YlbaPz0W2TyFTZHvjA,ザ・きんにくTV 【The Muscle TV】,24,20.09.09,なかやまきんに君|筋トレ|トレーニング|ダイエット|筋肉|ボディビル|フィジーク|パワー|きんにくん|マッスル|muscle|ジム|gym|減量|脂肪燃焼|たんぱく質|糖質|脂質|健康|health|サプリメント|プロテイン|アミノ酸|サプリ|スクワット|腹筋|ベンチプレス|背筋,754344,11634,236,875,https://i.ytimg.com/vi/rXvQ0mGjeZA/default.jpg,False,JP,184
i9fAHszb4kg,ヒカルくんの紹介で遊楽舎の店長に、世界に一つだけのお宝フィギュアを査定してもらいました,2020-09-02T11:00:13Z,UCtubooLn_qgqoWsWS-UWuHw,宮迫ですッ!【宮迫博之】,24,20.09.09,宮迫博之|お笑い|宮迫ですっ！|エンターテイメント|芸能|芸人|雨上がり決死隊|YouTube|動画|トーク|初心|感謝|頑張ります,907087,20450,1052,524,https://i.ytimg.com/vi/i9fAHszb4kg/default.jpg,False,JP,185
x5sdNFI5-_Y,【出産レポ】陣痛開始から誕生まで！30時間出産を語り尽くす【初産】,2020-09-01T10:00:23Z,UCjl8UBoqlulhOn6OR8fpiUg,あみちゃんねる / 菊地亜美,24,20.09.09,菊地亜美|菊池亜美|きくちあみ|あみちゃんねる|あみみ|FIREBUG|ファイアーバグ|BUG|バグ|アイドル|アイドリング|タレント|YouTube|ユーチューブ|YouTuber|ユーチューバー|妊婦|ママ|赤ちゃん|出産|陣痛|臨月|お母さん|いっちゃん|旦那,700689,14073,407,1357,https://i.ytimg.com/vi/x5sdNFI5-_Y/default.jpg,False,JP,186
5gWXtRQwggU,【西の親父と東のおとん】店長と宮迫さんを会わせてみた結果…,2020-09-02T10:29:15Z,UCaminwG9MTO4sLYeC3s6udA,ヒカル（Hikaru）,24,20.09.09,ヒカル|Hikaru|トーク|ドッキリ|おもしろ|店長|宮迫博之|宮迫さん|親父,1223311,23317,1141,1450,https://i.ytimg.com/vi/5gWXtRQwggU/default.jpg,False,JP,187
jUsUzbmSLow,SuperM 슈퍼엠 ‘호랑이 (Tiger Inside)’ MV,2020-09-01T04:00:11Z,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,10,20.09.09,[none],21104842,1569533,25575,256023,https://i.ytimg.com/vi/jUsUzbmSLow/default.jpg,False,JP,188
NMkTAXNhfI8,King & Prince「&LOVE」ダンスVer.映像ダイジェスト,2020-08-31T21:00:04Z,UCfwnhCPBIlbe7XMRV5WKbrQ,Johnnys official,10,20.09.09,King & Prince|キンプリ|キングアンドプリンス|ティアラ|ジャニーズ|平野紫耀|永瀬廉|髙橋海人|岸優太|神宮寺勇太|岩橋玄樹|Mazy Night|未満警察 ミッドナイトランナー|Sexy Zone|中島健人|ランド|L&|弱虫ペダル|koi-wazurai|&LOVE,1395240,0,0,0,https://i.ytimg.com/vi/NMkTAXNhfI8/default.jpg,True,JP,189
2Sr5v1qKvcs,ローラの1日ごはん🍙体型維持のためにしている事💕in LA【WHAT I EAT IN A DAY】,2020-09-01T10:00:01Z,UCkMs-Zr9pGixbqm0mhO8J7g,Rola Official,24,20.09.09,ローラ|ROLA|ROLA OFFICIAL|YouTubeデビュー|モデル|タレント|ロス|LA|日本|モーニングルーティン|朝食|手料理,686438,14443,363,702,https://i.ytimg.com/vi/2Sr5v1qKvcs/default.jpg,False,JP,190
Owqn2QrtOBU,夏のせい RADWIMPS MV,2020-08-31T15:00:00Z,UCIVqvhyo8ttjYOmMJuhq_YQ,radwimpsstaff,10,20.09.09,RADWIMPS|野田洋次郎|桑原彰|武田祐介,1522744,54533,398,3441,https://i.ytimg.com/vi/Owqn2QrtOBU/default.jpg,False,JP,191
U3ksUNKBpLs,【朝倉未来チャレンジ】デビュー戦お疲れ様会後編,2020-09-01T10:00:28Z,UCJFzpJDW1yyaCBUZxmAz-3g,三崎優太 青汁王子,24,20.09.09,三崎優太|青汁王子|朝倉未来|西谷大成|ヒロヤ|畠山祐輔|DEEP|格闘技|総合格闘技|デビュー,202221,5538,230,348,https://i.ytimg.com/vi/U3ksUNKBpLs/default.jpg,False,JP,192
OnqUlCJLjvc,【24万人記念】24万人になったら俺が24万人になる枠【黛 灰 × 24万人  / にじさんじ】,2020-09-03T16:41:48Z,UCb5JxV6vKlYVknoJB8TnyYg,黛 灰 / Kai Mayuzumi【にじさんじ】,29,20.09.09,Nintendo,98006,5844,131,166,https://i.ytimg.com/vi/OnqUlCJLjvc/default.jpg,False,JP,193
K-93DhdTDMY,モンストニュース[9/3]新轟絶や獣神化など、モンストの最新情報をお届けします！【モンスト公式】,2020-09-03T07:00:12Z,UCd9BXPj-KcMTh0HiB-Vlb8A,モンスト（モンスターストライク）公式,20,20.09.09,モンスト|公式|モンスト公式|XFLAGの中の人|モンスターストライク|XFLAG|アプリ|実況|ゆっくり実況|解説|面白|おもしろ|人気|動画|ゲーム|japan|japanese|YouTube|Monster Strike|新キャラ|新ガチャ|超獣神祭|爆絶|超絶|轟絶|降臨|ガチャ|さなぱっちょ|ぱなえ|りえっくす|ベイビーかわけ|さしみ|のぐちょん|モンストニュース|モンスト最新|ゆきのしん|たけちょり|獣神化|怪物彈珠|彈珠爆新聞|最新情報|モンストの日|UCWzenZSy9GJBcPzdSm-UX5w|XFLAG STORE,490710,3830,729,949,https://i.ytimg.com/vi/K-93DhdTDMY/default.jpg,False,JP,194
5saPypqc8IM,【過去一盛れた】イニスフリー縛りで今からできる秋メイク！テラコッタオレンジイエローメイク（？）お気に入り大量発掘！グリッター紹介【プチプラ】【韓国コスメ】,2020-09-01T10:00:02Z,UC3swo6utVXOSYwxazwoKWBQ,nanakoななこ,24,20.09.09,[none],374259,11784,392,691,https://i.ytimg.com/vi/5saPypqc8IM/default.jpg,False,JP,195
5Q8tmJyOOcY,メンバーがチンピラに絡まれていたら朝倉海は助けるのか,2020-08-31T11:00:01Z,UCbqtn4vldMg5HjKims7MWfw,KAI Channel / 朝倉海,27,20.09.09,朝倉海|KAIChannel|かいちゃんねる,1861031,33411,1638,3548,https://i.ytimg.com/vi/5Q8tmJyOOcY/default.jpg,False,JP,196
-nIkZAc4qy0,TWICE 「STUCK IN MY HEAD -Japanese ver.-」 Promotion Video,2020-09-01T15:00:00Z,UCCRb6nYKaT8tzLA8CwDdUtw,TWICE JAPAN OFFICIAL YouTube Channel,10,20.09.09,TWICE|トワイス|トゥワイス|ナヨン|ジョンヨン|モモ|サナ|ジヒョ|ミナ|ダヒョン|チェヨン|ツウィ|K-POP|TT|Official Music Video|ONCE,711329,71324,242,2539,https://i.ytimg.com/vi/-nIkZAc4qy0/default.jpg,False,JP,197
u1kkV7fg28A,朝倉未来、恋人？小倉優香ラジオ降板質問に「ひざ蹴り入れていいっすか？」朝倉未来プロデュースサプリメント「MARTIN-UP」新製品発表会,2020-09-01T06:37:53Z,UCD0CcyMnVhEeAV5tNVM04cg,マイナビニュース【エンタメ・ホビー】,24,20.09.09,エンタメ|ホビー|マイナビ|ニュース|マイナビニュース|芸能|朝倉未来|小倉優香|格闘技|熱愛|グラビア|MIKURU|ASAKURA|未来|K-1|朝倉,806103,3736,618,1246,https://i.ytimg.com/vi/u1kkV7fg28A/default.jpg,False,JP,198
1-Ow8q-IIp8,【藤川球児  引退会見】＜前編＞たくさんの感動と勝利をありがとう！阪神タイガース密着！応援番組「虎バン」ABCテレビ公式チャンネル,2020-09-01T13:15:00Z,UCODSPVjWI7uaaXxhmaOCLTA,虎バン 阪神タイガース応援チャンネル ABCテレビ公式,17,20.09.09,阪神タイガース|阪神|タイガース|プロ野球|セ・リーグ|甲子園|虎バン|朝日放送|ABC|藤川球児|引退|火の玉|矢野,168243,3098,67,570,https://i.ytimg.com/vi/1-Ow8q-IIp8/default.jpg,False,JP,199
Zrtzhma1pjQ,乃木坂毎月劇場　第5話「ハマる」｜サッポロ一番　カップスター　和ラー,2020-09-01T03:00:05Z,UClEfHzqkNY1qn6HXd-Tog2g,サッポロ一番 公式,24,20.09.09,サンヨー食品|サッポロ一番,380503,9498,107,931,https://i.ytimg.com/vi/Zrtzhma1pjQ/default.jpg,False,JP,200
